Model,MAE
LinearRegression10Bands,6.367811945796891
LinearRegressionAllIndices,5.344200535676357
Linear Regression Selected Indices,6.0792268120089075
KNN,4.770458080574915
KNNAllIndices,4.847478296042298
KNNSelectedIndices,5.042232428317615
LinearRegression10Bands,6.367811945796891
LinearRegressionAllIndices,5.344200535676357
Linear Regression Selected Indices,6.0792268120089075
